iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
35,-0.240704,40.9313,-0.0051183,0,12.125,0.298844,1.45294,0.0275969,-0.0114077,24.2294,5.85277e-05,0.0164863,0.92921,9350.94,0.954702,0.359391,-0.1,0.02,47.0337,430080,0.0429184,0.0175304,0.0387702,0.0248679,-0.12822,nan,0.0114536,-0.000414715,-0.00177298,-0.000106363,-0.00124742,-0.000703818,-0.0151104,-1.68513e-07
36,-0.180297,41.6689,-0.00478975,0,12.4583,0.297392,1.43531,0.0279474,-0.010883,24.2099,5.85277e-05,0.0112786,0.928254,8992.15,0.978941,0.387584,-0.1,0.02,48.402,442368,0.0442329,0.0188474,0.0392058,0.0258894,-0.130528,nan,0.0125819,-0.000435554,-0.00173023,-0.000107016,-0.00125084,-0.000747564,-0.0149731,-1.65752e-07
37,-0.195802,40.782,-0.00408678,0,12.0417,0.293589,1.43618,0.0265653,-0.0103733,24.1918,5.85277e-05,0.00969883,0.927327,8832.82,1.03046,0.360716,-0.1,0.02,49.7946,454656,0.0438276,0.0181841,0.0382935,0.0253289,-0.127653,nan,0.0116886,-0.000468874,-0.00169498,-0.000104567,-0.001391,-0.00070253,-0.0150979,-1.71667e-07
38,-0.142127,41.8521,-0.00360254,0,12.9583,0.297442,1.43204,0.0257075,-0.0103623,24.1736,5.85277e-05,0.0051431,0.926364,8611.79,1.04466,0.382221,-0.1,0.02,51.223,466944,0.0446553,0.0184179,0.0393424,0.0257008,-0.130484,nan,0.0143826,-0.0005091,-0.00166698,-0.000105663,-0.00117685,-0.000619527,-0.015043,-1.732e-07
39,-0.156058,40.8997,-0.0032951,0,12.4583,0.294032,1.4332,0.0262416,-0.011372,24.1546,5.85277e-05,0.0118646,0.925393,8403.05,1.09815,0.364178,-0.1,0.02,52.6868,479232,0.0432967,0.0180675,0.038381,0.0249006,-0.127259,nan,0.0139064,-0.000513106,-0.00162614,-0.000102512,-0.001,-0.000628978,-0.0152254,-1.75629e-07
40,-0.129858,41.8,-0.00232536,0,12.2917,0.293376,1.45668,0.0274071,-0.0100843,24.1364,5.85277e-05,0.0129073,0.924499,9431.04,0.939491,0.363441,-0.1,0.02,53.9918,491520,0.0439636,0.0182572,0.0393024,0.0259756,-0.129406,nan,0.0150915,-0.000534372,-0.00167665,-0.00010697,-0.00157288,-0.000619049,-0.0151676,-1.75668e-07
41,-0.10184,41.7014,-0.0024024,0,12,0.286723,1.40997,0.0283607,-0.00990252,24.119,5.85277e-05,0.0109223,0.92359,7846.99,1.10781,0.458145,-0.1,0.02,55.5592,503808,0.0446738,0.018853,0.0385652,0.025903,-0.128635,nan,0.0141875,-0.000534657,-0.00172548,-0.000105126,-0.0008125,-0.00050531,-0.0149562,-1.73323e-07
42,-0.143867,41.5302,-0.00350618,0,12.4167,0.290111,1.41788,0.0292466,-0.0104877,24.1013,5.85277e-05,0.00772529,0.92269,9610.65,1.01006,0.26852,-0.1,0.02,56.8397,516096,0.0442182,0.0188332,0.0383399,0.0258014,-0.128153,nan,0.0128557,-0.000486605,-0.00169863,-0.000104013,-0.0013255,-0.000659891,-0.0148141,-1.70095e-07
43,-0.0809682,41.7425,-0.000597186,0,11.1667,0.277697,1.40335,0.0283522,-0.0110194,24.0837,5.85277e-05,0.0150552,0.921789,11744.9,0.796787,0.249456,-0.1,0.02,57.8874,528384,0.0461885,0.0184557,0.0398663,0.0262317,-0.1291,nan,0.0131978,-0.00055854,-0.00173953,-0.000102917,-0.000813433,-0.000563948,-0.0151101,-1.74864e-07
44,-0.117232,42.4437,-0.00336768,0,12.9583,0.302013,1.43672,0.0267068,-0.0103835,24.0663,5.85277e-05,0.00869887,0.920916,12268.3,0.732165,0.269444,-0.1,0.02,58.8903,540672,0.0453741,0.0187292,0.0398351,0.0262508,-0.13178,nan,0.0144598,-0.000583161,-0.00174874,-0.000106301,-0.000916399,-0.000635103,-0.0147412,-1.69099e-07
