iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
33,-0.53596,82.8641,-0.00235088,0,4.29167,0.145957,1.25658,0.0168971,-0.0114803,2.15212,5.85277e-05,0.0198805,0.289491,15362.6,0.536804,0.263062,-0.1,0.02,39.7913,405504,0.0516749,0.00758984,0.0454652,0.0104771,-0.0187418,nan,0.00833592,nan,nan,nan,nan,-0.00353348,-0.012171,-0.00397128,0.00690291,-0.0328295,-0.000563107,-0.000790791,-0.084643,nan
34,-0.383459,91.7327,-0.0016437,0,4.20833,0.144489,1.26749,0.0164865,-0.0123727,2.14612,5.85277e-05,0.0137876,0.289345,17143.5,0.474487,0.242288,-0.1,0.02,40.5094,417792,0.061142,0.0081132,0.0517804,0.0111802,-0.0210253,nan,0.00911683,nan,nan,nan,nan,-0.00364283,-0.0123042,-0.00435481,0.00806931,-0.0362972,-5.94059e-05,-0.000760838,-0.0901303,nan
35,-0.363855,97.7714,-0.00214796,0,4.375,0.149746,1.23963,0.016839,-0.0116339,2.14008,5.85277e-05,0.00954959,0.289205,17435.2,0.470693,0.23409,-0.1,0.02,41.2154,430080,0.0685734,0.00918228,0.0546535,0.0119576,-0.0221663,nan,0.00964952,nan,nan,nan,nan,-0.00401014,-0.0138477,-0.00474881,0.00819048,-0.0385482,-0.000104762,-0.000790955,-0.0961827,nan
36,-0.396288,94.5046,-0.00127944,0,4.54167,0.148045,1.24653,0.0186391,-0.0108752,2.13405,5.85277e-05,0.013506,0.289053,17385.7,0.467084,0.239703,-0.1,0.02,41.9235,442368,0.062648,0.00902406,0.0541031,0.0115215,-0.0215439,nan,0.00898073,nan,nan,nan,nan,-0.00385765,-0.0131788,-0.00470014,0.00777064,-0.0372761,-0.000110092,-0.000798111,-0.0923977,nan
37,-0.27227,103.689,-0.00163583,0,3.75,0.147922,1.25129,0.0182113,-0.0117188,2.12791,3.90184e-05,0.0223748,0.288929,17658.7,0.46286,0.233,-0.1,0.02,42.6207,454656,0.0737582,0.00902021,0.0598484,0.0132618,-0.0237144,nan,0.01051,nan,nan,nan,nan,-0.0041818,-0.0145545,-0.00517654,0.00937778,-0.0411097,-0.000433333,-0.000985488,-0.0992341,nan
38,-0.256645,98.9341,-0.00210425,0,3.79167,0.148167,1.28265,0.0177593,-0.0100109,2.12312,3.90184e-05,0.0147754,0.2888,17009.8,0.47519,0.247216,-0.1,0.02,43.3443,466944,0.0721498,0.00924619,0.0563376,0.0122379,-0.022621,nan,0.0104022,nan,nan,nan,nan,-0.00396171,-0.0143556,-0.0047397,0.00893407,-0.0391912,-0.000131868,-0.000955132,-0.096184,nan
39,-0.426626,112.283,-0.000809331,0,3.83333,0.144,1.24825,0.0200241,-0.0103363,2.11712,3.90184e-05,0.0108722,0.288664,17304.9,0.47039,0.239697,-0.1,0.02,44.0557,479232,0.0717845,0.0105683,0.0637748,0.0140972,-0.0256132,nan,0.0114261,nan,nan,nan,nan,-0.00449076,-0.0163057,-0.0054137,0.0101957,-0.0444581,-0.000434783,-0.000930597,-0.105531,nan
40,-0.228985,116.915,-0.000141732,0,3.41667,0.143716,1.22659,0.0198477,-0.00924505,2.112,3.90184e-05,0.0120252,0.288545,16631.3,0.491195,0.247652,-0.1,0.02,44.7959,491520,0.0817658,0.0107813,0.0690486,0.0148036,-0.0267418,nan,0.0119573,nan,nan,nan,nan,-0.00465331,-0.0165958,-0.00555427,0.010061,-0.0462593,-9.7561e-05,-0.00102632,-0.108938,nan
41,-0.48191,110.84,-0.000535603,0,3.375,0.146654,1.23698,0.020816,-0.0103295,2.10712,3.90184e-05,0.0159632,0.288438,15477.1,0.483621,0.310326,-0.1,0.02,45.5911,503808,0.070058,0.0102383,0.0644984,0.0136235,-0.0254265,nan,0.0112025,nan,nan,nan,nan,-0.00440994,-0.0164788,-0.00527243,0.00939506,-0.0437088,-0.00045679,-0.00102858,-0.106329,nan
42,-0.255208,147.449,0.000767368,0,2.875,0.14336,1.21474,0.0180625,-0.00957076,2.10253,3.90184e-05,0.0158094,0.288317,15441.2,0.528995,0.266796,-0.1,0.02,46.389,516096,0.0996358,0.013626,0.0893023,0.0184666,-0.0335696,nan,0.0163826,nan,nan,nan,nan,-0.00578328,-0.0220713,-0.00736961,0.0143478,-0.0580461,-7.24638e-05,-0.00141019,-0.136199,nan
