iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
46,9.94739,162.962,0.0629239,0,1.08333,0.181706,0.688763,0.15191,-0.00699061,13.0703,3.90184e-05,0.00359468,0.500162,8668.55,0.993856,0.423682,-0.181,0.0362,65.3678,565248,0.165183,0.115722,0.157214,0.0558849,-0.268166,0.325923,-0.0531538,-9.90417e-05,-0.00113925
47,11.152,174.958,0.0626644,0,1,0.181373,0.705685,0.142948,-0.00916147,13.0659,3.90184e-05,0.00770236,0.500017,9126.97,0.978849,0.36749,-0.1828,0.03656,66.7159,577536,0.189669,0.132288,0.169493,0.0599142,-0.29023,0.349917,-0.0522083,-9.19857e-05,-0.00114905
48,11.6623,190.375,0.0625098,0,0.666667,0.180874,0.679388,0.117211,-0.00786168,13.0604,3.90184e-05,0.0125358,0.499846,11056.2,0.805256,0.306156,-0.1846,0.03692,67.8285,589824,0.193397,0.133328,0.183596,0.0644197,-0.318377,0.38075,-0.0526875,-9.45505e-05,-0.0012176
49,11.7217,203.333,0.0626424,0,0.375,0.176978,0.68251,0.0899304,-0.00852796,13.0538,3.90184e-05,0.0110144,0.499658,12839.7,0.669078,0.287956,-0.1864,0.03728,68.787,602112,0.19457,0.132509,0.196904,0.0688281,-0.339059,0.406667,-0.0731111,-0.000100752,-0.00112243
50,16.8603,294,0.0620564,0,0.0416667,0.175367,0.687875,0.0801017,-0.00758769,13.0473,3.90184e-05,0.00712414,0.499497,12318.5,0.708504,0.289019,-0.1882,0.03764,69.7859,614400,0.257957,0.217203,0.287537,0.0885958,-0.48917,0.588,-0.106,-0.000102486,-0.00100472
51,15.4057,258.333,0.0612486,0,0.125,0.175169,0.679278,0.0723901,-0.00757485,13.0418,3.90184e-05,0.00967653,0.499342,13273.1,0.668641,0.257142,-0.19,0.038,73.3089,626688,0.279887,0.162069,0.251749,0.0751839,-0.437061,0.516667,-0.0766667,-0.000156833,-0.00138466
52,17.8548,282,0.0613186,0,0.0833333,0.174486,0.66934,0.0616954,-0.0079301,13.0353,3.90184e-05,0.011208,0.499134,13854.1,0.626861,0.260097,-0.1918,0.03836,74.1974,638976,0.36514,0.187128,0.275082,0.0773625,-0.486073,0.564,-0.0885,-8.99483e-05,-0.00130846
53,10.8363,230.5,0.0612255,0,0.0833333,0.175083,0.686472,0.0600636,-0.00922178,13.0272,3.90184e-05,0.0114554,0.498899,13772.8,0.624736,0.267459,-0.1936,0.03872,75.0909,651264,0.16921,0.114244,0.225242,0.0641839,-0.410442,0.461,-0.0805,-0.000105653,-0.001015
54,9.90355,216,0.0603313,0,0.0416667,0.174455,0.682872,0.0548264,-0.00966604,13.0183,3.90184e-05,0.0104619,0.498637,13868.4,0.632813,0.253233,-0.1954,0.03908,75.9783,663552,0.135546,0.122626,0.203892,0.0495077,-0.377292,0.432,-0.07,-4.42701e-05,-0.00105856
55,18.2873,359,0.0601358,0,0.0833333,0.173738,0.685664,0.0582849,-0.00915194,13.0085,5.85277e-05,0.0047114,0.498362,13860,0.629758,0.256825,-0.1972,0.03944,76.866,675840,0.271082,0.226974,0.347339,0.111653,-0.627105,0.718,-0.132,-0.000112443,-0.0014648
