iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
48,53.4761,506.645,0.0912114,0.541667,0.75,0.105737,0.382827,0.955177,-0.00978912,-15.8543,1e-05,0.0152632,0.10029,8255.59,1.07179,0.416655,-1,0.2,57.0084,589824,0.967463,0.856009,0.988363,0.408854,-0.546884
49,22.3144,316.3,0.088892,0.125,0.708333,0.107143,0.379668,0.995181,-0.0123858,-15.8528,1e-05,0.0231391,0.100297,9864.03,0.878028,0.36771,-1,0.2,58.2557,602112,0.563624,0.40503,0.612261,0.177501,-0.642698
50,26.9297,388.419,0.0854697,0.208333,1.08333,0.108173,0.427852,1.17167,-0.0112245,-15.8519,1e-05,0.0219456,0.100301,8552.74,1.05676,0.379975,-1,0.2,59.6938,614400,0.684158,0.490901,0.751864,0.218488,-0.798926
51,49.0284,541.481,0.0913852,0.375,0.75,0.103457,0.369485,0.892978,-0.0101182,-15.851,1e-05,0.0161406,0.100308,8824.02,0.990824,0.401739,-1,0.2,61.0879,626688,0.996464,0.82057,1.05131,0.38169,-0.798607
52,43.1002,463.742,0.0932026,0.416667,0.875,0.0990898,0.345802,0.926208,-0.0102264,-15.8496,1e-05,0.01451,0.100315,9292.56,0.959915,0.362434,-1,0.2,62.4117,638976,0.860995,0.704239,0.901332,0.335352,-0.646908
53,40.3955,426.381,0.0975053,0.25,0.625,0.0962153,0.314984,0.694845,-0.0112858,-15.8482,1e-05,0.0231206,0.100324,7491.42,1.13346,0.506822,-1,0.2,64.0535,651264,0.790652,0.654265,0.828593,0.316263,-0.569998
54,49.0269,544.36,0.0937079,0.416667,0.625,0.0952888,0.36206,1.01872,-0.0103784,-15.8467,1e-05,0.0214961,0.100332,7558.31,1.12483,0.500934,-1,0.2,65.6806,663552,0.999404,0.800256,1.05989,0.355901,-0.764107
55,52.2207,523.15,0.0947646,0.333333,0.5,0.0979371,0.303529,0.814761,-0.0107701,-15.8452,1e-05,0.0190937,0.100342,8561.18,0.918653,0.516663,-1,0.2,67.1177,675840,0.987867,0.852447,1.01941,0.39301,-0.641695
56,71.1314,697.267,0.0961824,0.708333,0.541667,0.0973437,0.325589,0.896176,-0.011138,-15.8434,1e-05,0.0224226,0.10035,7716.49,1.15387,0.438568,-1,0.2,68.7117,688128,1.31415,1.12058,1.35954,0.525212,-0.762912
57,52.0764,543.045,0.0943707,0.333333,0.583333,0.0959781,0.333013,1.10753,-0.0118961,-15.842,1e-05,0.0187861,0.100358,7437.37,1.19663,0.45557,-1,0.2,70.3656,700416,1.0114,0.84656,1.05524,0.401602,-0.710983
