iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/joint_vel,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence,Episode_Reward/termination
1031,-38.8028,728,-0.036117,0,0.125,0.146307,1.19418,0.18572,-0.0102466,2.54462,3.95062e-05,0.00864596,0.299069,13941.4,0.55626,0.325142,-0.1,0.15,26.498,1.26689e+07,0.370703,0.0222983,0.446565,0.0225212,-0.192199,0.728,-0.124667,nan,nan,nan,nan,-0.0301993,-0.144577,-0.0437559,nan,-0.263514,0,-0.166383,-0.673578,nan,-0.888792,-0.928,1.03077,0.341333,-1.41867,-0.028,0.5,-0.5
1032,-27.249,446.4,-0.0364422,0,0.208333,0.143055,1.19236,0.245573,-0.00867022,2.53996,3.95062e-05,0.00666441,0.298995,14264.8,0.579994,0.281425,-0.1,0.15,27.3607,1.26812e+07,0.188782,0.0143392,0.280562,0.014123,-0.114436,0.4464,-0.09568,nan,nan,nan,nan,-0.0169479,-0.0625153,-0.027834,nan,-0.157916,0,-0.103564,-0.417799,nan,-0.513969,-0.5358,0.623905,0.2464,-0.8568,-0.0212,0.2475,-0.5
1033,-48.7573,780.5,-0.0331682,0,0.0833333,0.140932,1.20431,0.179434,-0.00925535,2.5375,3.95062e-05,0.0126524,0.298932,12822.2,0.599981,0.358358,-0.1,0.15,28.3208,1.26935e+07,0.171755,0.0232758,0.444278,0.0298064,-0.20545,0.7805,-0.1388,nan,nan,nan,nan,-0.0356592,-0.180647,-0.0563625,nan,-0.283091,0,-0.177844,-0.760291,nan,-0.977182,-1.0545,1.11885,0.406,-1.516,-0.039,0.5125,-0.5
1034,-24.9572,426.5,-0.0329941,0,0.0833333,0.147792,1.19883,0.177925,-0.0100733,2.53458,3.95062e-05,0.0122348,0.298845,11260.5,0.631566,0.459679,-0.1,0.15,29.4139,1.27058e+07,0.164365,0.0225039,0.255008,0.0168067,-0.106785,0.4265,-0.0825,nan,nan,nan,nan,-0.0150372,-0.0576799,-0.0286288,nan,-0.148845,0,-0.0996894,-0.368307,nan,-0.496601,-0.5475,0.643028,0.252,-0.842,-0.022,0.2875,-0.5
1035,-53.9551,836,-0.0328452,0,0.0416667,0.147026,1.20834,0.218717,-0.00923657,2.5312,3.95062e-05,0.00876073,0.298786,12490.8,0.609657,0.374105,-0.1,0.15,30.3993,1.27181e+07,0.261633,0.0175674,0.483498,0.0288299,-0.220746,0.836,-0.1176,nan,nan,nan,nan,-0.023949,-0.129074,-0.0416625,nan,-0.297328,0,-0.192557,-0.77856,nan,-1.03182,-1.182,1.17151,0.312,-1.616,-0.04,0.3625,-0.5
1036,-39.8894,718.2,-0.0361426,0,0.208333,0.14954,1.18123,0.197782,-0.0104565,2.52958,3.95062e-05,0.0109772,0.298755,12906.4,0.611395,0.340692,-0.1,0.15,31.353,1.27304e+07,0.292695,0.0265589,0.432861,0.0184414,-0.188376,0.7182,-0.13268,nan,nan,nan,nan,-0.0297096,-0.140213,-0.0465692,nan,-0.256669,0,-0.16629,-0.709197,nan,-0.864936,-0.9456,1.00491,0.3616,-1.376,-0.026,0.5325,-0.5
1037,-41.3928,776.333,-0.0341642,0,0.125,0.149385,1.18484,0.237744,-0.00833389,2.52804,3.95062e-05,0.0114401,0.298714,13172.7,0.56134,0.3715,-0.1,0.15,32.2873,1.27427e+07,0.350844,0.0235909,0.503248,0.0179788,-0.199285,0.776333,-0.141267,nan,nan,nan,nan,-0.0289189,-0.121011,-0.0457538,nan,-0.276709,0,-0.180811,-0.744505,nan,-0.913353,-0.994,1.07081,0.425333,-1.52533,-0.0293333,0.4625,-0.5
1038,-34.4789,638.667,-0.0360213,0,0.25,0.147616,1.18878,0.206956,-0.00890138,2.52697,3.95062e-05,0.0108457,0.298703,12913.7,0.589464,0.362085,-0.1,0.15,33.2407,1.27549e+07,0.318779,0.0191066,0.406043,0.0180934,-0.16326,0.638667,-0.1127,nan,nan,nan,nan,-0.0251064,-0.105172,-0.0384989,nan,-0.227133,0,-0.148503,-0.618366,nan,-0.738027,-0.784,0.906216,0.325333,-1.23867,-0.0213333,0.364583,-0.5
1039,-37.8829,673.5,-0.0319512,0,0.166667,0.149403,1.19168,0.222085,-0.00818242,2.52579,3.95062e-05,0.00622518,0.298645,13733.1,0.580586,0.314184,-0.1,0.15,34.1371,1.27672e+07,0.304744,0.0207431,0.427339,0.0146785,-0.173762,0.6735,-0.10415,nan,nan,nan,nan,-0.0224808,-0.0977247,-0.0374541,nan,-0.240533,0,-0.156878,-0.619207,nan,-0.78879,-0.7905,0.946578,0.31,-1.306,-0.023,0.26875,-0.5
1040,-48.8379,940.5,-0.0349476,0,0.166667,0.145909,1.21577,0.188264,-0.00907538,2.52248,3.95062e-05,0.00946449,0.298547,14558.4,0.521638,0.322413,-0.1,0.15,34.9826,1.27795e+07,0.370899,0.0365264,0.570863,0.0297582,-0.245162,0.9405,-0.1587,nan,nan,nan,nan,-0.0398189,-0.204255,-0.0580113,nan,-0.336295,-0.003,-0.217576,-0.896023,nan,-1.13959,-1.21575,1.31549,0.472,-1.841,-0.0415,0.71875,-0.5
