iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/trot,Episode_Reward/joint_torque
33,0.364097,43.7417,0.00852053,0,11.2917,0.296775,1.49067,0.0465174,-0.0136914,24.3182,8.77915e-05,0.0175967,0.933728,12857.7,0.697575,0.258115,-0.1,0.02,38.2582,405504,0.0451701,0.0188221,0.0407879,0.0247602,-0.138825,nan,0.0168819,0.0233506,0.00686998,-0.000657767,-0.00169597,-0.000109604,-0.00110701,-0.000638003,-0.0154045,-1.79141e-07,nan,nan,nan,nan
34,0.366862,43.0884,0.00978394,0,12.25,0.297676,1.48805,0.0402382,-0.0128723,24.2954,8.77915e-05,0.0110436,0.932561,12562.1,0.726707,0.251474,-0.1,0.02,39.2378,417792,0.045896,0.0186146,0.0395168,0.0237204,-0.136663,nan,0.017398,0.0226803,0.0071167,-0.000658605,-0.00154074,-0.000103699,-0.00184694,-0.000630775,-0.015156,-1.80078e-07,nan,nan,nan,nan
35,0.451187,42.9308,0.00930023,0,12.0417,0.291623,1.47305,0.0406966,-0.0142461,24.2726,8.77915e-05,0.0172964,0.931352,11954.7,0.774968,0.25291,-0.1,0.02,40.267,430080,0.0451657,0.01866,0.0407944,0.0237931,-0.136112,nan,0.0185606,0.0233426,0.00762489,-0.000697228,-0.00153065,-0.00010414,-0.0010519,-0.00063803,-0.0152477,-1.80957e-07,nan,nan,nan,nan
36,0.422179,43.4175,0.0104842,0,11.875,0.284188,1.49624,0.0387619,-0.014121,24.2498,8.77915e-05,0.016611,0.93023,12255.3,0.719733,0.282934,-0.1,0.02,41.2709,442368,0.046548,0.0188691,0.0394472,0.0236173,-0.136926,nan,0.0182632,0.0229368,0.00741888,-0.000726965,-0.00153621,-0.000103959,-0.000894737,-0.000608602,-0.0151946,-1.85143e-07,nan,nan,nan,nan
37,0.452786,43.145,0.0114235,0,11.2083,0.286728,1.49487,0.0421977,-0.0135895,24.2277,8.77915e-05,0.015206,0.929046,12492,0.718659,0.265012,-0.1,0.02,42.2576,454656,0.0460554,0.0185911,0.0405269,0.0236491,-0.136305,nan,0.019026,0.0228439,0.00754336,-0.000705261,-0.00149497,-0.000102084,-0.00147955,-0.000611083,-0.014898,-1.78068e-07,nan,nan,nan,nan
38,0.513633,43.8384,0.0119192,0,12.375,0.289898,1.47816,0.0368191,-0.0137025,24.2035,8.77915e-05,0.0191336,0.927692,12774.1,0.698709,0.263235,-0.1,0.02,43.221,466944,0.0479135,0.0188173,0.041338,0.0238793,-0.138495,nan,0.0200101,0.0236801,0.00812245,-0.000797004,-0.0015304,-0.00010319,-0.00152525,-0.000601203,-0.0150264,-1.81634e-07,nan,nan,nan,nan
39,0.489856,42.6259,0.0117642,0,11.9167,0.292725,1.50159,0.0381111,-0.012703,24.1767,8.77915e-05,0.0149768,0.926341,12588.8,0.717681,0.258421,-0.1,0.02,44.1984,479232,0.0446788,0.018516,0.0394372,0.0237967,-0.133344,nan,0.0197832,0.0224231,0.00801138,-0.00082349,-0.00142376,-9.92516e-05,-0.000832168,-0.000534281,-0.0150963,-1.85219e-07,nan,nan,nan,nan
40,0.497706,42.1152,0.0151747,0,11.2083,0.275487,1.45337,0.0408375,-0.0135846,24.1518,8.77915e-05,0.0122035,0.925137,13223.2,0.671507,0.257772,-0.1,0.02,45.129,491520,0.0452595,0.0174217,0.03866,0.0236535,-0.132092,nan,0.020197,0.0226022,0.00813346,-0.000773109,-0.00140306,-9.62364e-05,-0.00117472,-0.000588065,-0.0149144,-1.78417e-07,nan,nan,nan,nan
41,0.581788,46.2117,0.0114891,0,11.4167,0.292451,1.50712,0.0422784,-0.0136296,24.128,8.77915e-05,0.0156514,0.923854,12779.9,0.710435,0.251075,-0.1,0.02,46.0918,503808,0.0503513,0.0206638,0.0433197,0.0255942,-0.144091,nan,0.0198723,0.024708,0.00791877,-0.000793306,-0.00159101,-0.000107886,-0.000992701,-0.000580066,-0.0151828,-1.83262e-07,nan,nan,nan,nan
42,0.598555,44.206,0.0144428,0,11.125,0.277994,1.45028,0.0430789,-0.0136604,24.1025,8.77915e-05,0.0116014,0.922518,13331.7,0.664187,0.257527,-0.1,0.02,47.0149,516096,0.0481866,0.0196436,0.042358,0.0252222,-0.13869,nan,0.0197303,0.0241386,0.00813938,-0.00073073,-0.00152216,-0.000106193,-0.000749064,-0.000584705,-0.0151082,-1.84401e-07,nan,nan,nan,nan
43,0.616455,45.5556,0.0126848,0,11.25,0.287004,1.49203,0.0388285,-0.0135767,24.0761,8.77915e-05,0.0168922,0.921181,9620.09,0.926262,0.351065,-0.1,0.02,48.2937,528384,0.0495542,0.0201487,0.0423075,0.0255553,-0.142081,nan,0.0210667,0.0247222,0.00830666,-0.000801011,-0.00151172,-0.00011013,-0.000788889,-0.000618536,-0.014927,-1.79374e-07,nan,nan,nan,nan
44,0.596198,46.7303,0.0119391,0,11.125,0.290927,1.46734,0.0391444,-0.0140422,24.0511,8.77915e-05,0.0149873,0.919956,9932.63,0.890509,0.346626,-0.1,0.02,49.533,540672,0.0503118,0.0211735,0.0448752,0.0260581,-0.145324,nan,0.0188539,0.0246816,0.00784846,-0.000763158,-0.00157566,-0.000111582,-0.000539326,-0.000606259,-0.0150722,-1.82987e-07,nan,nan,nan,nan
45,0.545356,45.6691,0.0131439,0,11.2083,0.289935,1.43951,0.0395344,-0.0136408,24.0269,8.77915e-05,0.014766,0.918679,10704,0.83941,0.308577,-0.1,0.02,50.6829,552960,0.0489917,0.0205877,0.0417521,0.0258745,-0.142624,nan,0.0190483,0.0243086,0.00794815,-0.000732072,-0.00153425,-0.000106556,-0.000635688,-0.000593639,-0.0150166,-1.84179e-07,nan,nan,nan,nan
46,0.620028,44.893,0.0150785,0,11.2917,0.286203,1.45664,0.0408614,-0.014294,24.0019,8.77915e-05,0.0106142,0.917452,10428,0.784445,0.393924,-0.1,0.02,51.8626,565248,0.0469273,0.0201931,0.0415628,0.0260686,-0.139044,nan,0.0209336,0.0245793,0.00854253,-0.000809742,-0.00153269,-0.000110201,-0.000774908,-0.000577606,-0.0149562,-1.81326e-07,nan,nan,nan,nan
47,0.661698,46.093,0.0143457,0,10.75,0.292564,1.45538,0.044149,-0.0135753,23.9788,8.77915e-05,0.0171089,0.916307,10023.2,0.878811,0.347147,-0.1,0.02,53.0902,577536,0.0496484,0.0207472,0.0432561,0.0271372,-0.142645,nan,0.0209767,0.0249922,0.008334,-0.000782467,-0.00158221,-0.000106742,-0.000953488,-0.000588263,-0.0153487,-1.85944e-07,nan,nan,nan,nan
48,0.613352,47.2302,0.0129775,0,10.5,0.294686,1.47859,0.0414791,-0.0132761,23.9557,8.77915e-05,0.012823,0.915065,9658.84,0.941199,0.331004,-0.1,0.02,54.3642,589824,0.0504083,0.0212335,0.0438158,0.0275102,-0.146081,nan,0.020119,0.0249921,0.00790332,-0.00082101,-0.00163624,-0.000113367,-0.000706349,-0.000575696,-0.0153803,-1.89515e-07,nan,nan,nan,nan
49,0.703498,48.622,0.0148234,0,10.5833,0.288902,1.43857,0.0432264,-0.0144349,23.9308,8.77915e-05,0.0170573,0.913804,9804.91,0.900187,0.353063,-0.1,0.02,55.619,602112,0.0515468,0.0218193,0.0457821,0.0279464,-0.149234,nan,0.0219331,0.0261811,0.00864107,-0.000823799,-0.00164808,-0.000116116,-0.000834646,-0.00067396,-0.015344,-1.86668e-07,nan,nan,nan,nan
