iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence
632,42.9658,760.333,0.0654602,0,0.125,0.141153,1.19867,0.273899,-0.0106874,4.35701,8.88889e-05,0.0116642,0.347899,14309,0.5623,0.296463,-0.2,0.05,28.4978,7.76602e+06,0.281414,0.0302914,0.616357,0.0100814,-0.469466,0.760333,0.163767,nan,nan,nan,nan,-0.0294444,-0.101519,-0.0206139,nan,-0.303527,-0.000333333,-0.0390324,-0.573778,nan,0.0119286,0.0953333,-0.0126667,1.72917
633,37.5947,771,0.0666143,0,0.0416667,0.139803,1.18228,0.218369,-0.0100357,4.3551,8.88889e-05,0.0112825,0.347787,14120.1,0.512628,0.357621,-0.2,0.05,29.3693,7.7783e+06,0.391348,0.03423,0.643463,0.00783596,-0.492165,0.771,0.1279,nan,nan,nan,nan,-0.0220076,-0.0763189,-0.0147076,nan,-0.309241,0,-0.0402235,-0.560711,nan,0.0113317,0.064,-0.006,1.35
634,47.9509,745,0.0626578,0,0.125,0.143287,1.19333,0.267135,-0.0109921,4.35054,8.88889e-05,0.0143996,0.347685,13461.6,0.54341,0.369409,-0.2,0.05,30.2835,7.79059e+06,0.315155,0.0264152,0.605123,0.011025,-0.456974,0.745,0.177267,nan,nan,nan,nan,-0.0287832,-0.099229,-0.0230482,nan,-0.29885,0,-0.0361429,-0.568386,nan,0.0124742,0.0973333,-0.01,1.92917
635,47.2157,779.25,0.0626267,0,0.166667,0.144228,1.189,0.251809,-0.0098709,4.34688,8.88889e-05,0.010882,0.347543,13069.3,0.576215,0.364,-0.2,0.05,31.2251,7.80288e+06,0.357961,0.0326828,0.640842,0.0116642,-0.481251,0.77925,0.18535,nan,nan,nan,nan,-0.0314363,-0.113122,-0.0224032,nan,-0.311262,-0.0005,-0.0406103,-0.561874,nan,0.0128685,0.099,-0.012,1.81562
636,50.245,825.667,0.063959,0,0.125,0.14516,1.20552,0.295943,-0.0103909,4.34147,8.88889e-05,0.0113669,0.347406,14949,0.546815,0.275179,-0.2,0.05,32.0486,7.81517e+06,0.372379,0.0281519,0.677726,0.0106133,-0.515206,0.825667,0.176467,nan,nan,nan,nan,-0.0286603,-0.109004,-0.0217296,nan,-0.328452,-0.001,-0.0412958,-0.572663,nan,0.0135889,0.096,-0.012,1.94167
637,nan,nan,0.0647275,0,0,0.146417,1.18884,0.206852,-0.00959395,4.3373,8.88889e-05,0.0135606,0.347292,14333.4,0.508513,0.348787,-0.2,0.05,32.9072,7.82746e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
638,52.191,895,0.0616145,0,0.0833333,0.144985,1.19417,0.224752,-0.0108653,4.33333,5.92593e-05,0.0204806,0.347176,13283.9,0.557496,0.367532,-0.2,0.05,33.8336,7.83974e+06,0.370658,0.0345281,0.718418,0.00954918,-0.554684,0.895,0.19675,nan,nan,nan,nan,-0.0317305,-0.114799,-0.0222868,nan,-0.361741,-0.0025,-0.0411163,-0.656658,nan,0.0146642,0.081,-0.013,2.0875
639,57.722,866.5,0.0673077,0,0.0833333,0.140386,1.16737,0.249575,-0.0096284,4.33074,5.92593e-05,0.0109506,0.347174,13701.8,0.558438,0.33838,-0.2,0.05,34.7316,7.85203e+06,0.269026,0.042084,0.702965,0.0119915,-0.537953,0.8665,0.2087,nan,nan,nan,nan,-0.0362526,-0.125354,-0.0254501,nan,-0.346204,0,-0.0455984,-0.587381,nan,0.0122775,0.1,-0.017,2.39375
640,20.1097,351,0.0610391,0,0.0416667,0.141845,1.18135,0.236816,-0.00897066,4.33032,5.92593e-05,0.0173967,0.347101,14845.1,0.540412,0.287337,-0.2,0.05,35.5609,7.86432e+06,0.099416,0.0116779,0.285068,0.00508751,-0.214052,0.351,0.077,nan,nan,nan,nan,-0.0154501,-0.0583294,-0.0108098,nan,-0.142524,0,-0.0199061,-0.259436,nan,0.00924424,0.058,-0.008,0.8375
641,65.6511,970.5,0.0647515,0,0.0833333,0.142108,1.19369,0.26051,-0.00895833,4.32631,5.92593e-05,0.0097694,0.346964,13196.8,0.533939,0.397196,-0.2,0.05,36.4934,7.87661e+06,0.653583,0.050851,0.776311,0.0131428,-0.602354,0.9705,0.23745,nan,nan,nan,nan,-0.0417463,-0.137825,-0.0277548,nan,-0.391049,0,-0.0480211,-0.690128,nan,0.020596,0.112,-0.013,2.4
642,62.0223,999.867,0.0616269,17.0833,0.166667,0.15182,1.12903,0.219544,-0.00880319,4.32253,5.92593e-05,0.0130391,0.346911,11517.7,0.660179,0.406703,-0.2,0.05,37.5615,7.8889e+06,0.429159,0.037571,0.824204,0.0138852,-0.625405,0.999867,0.231369,nan,nan,nan,nan,-0.0373827,-0.143786,-0.0284778,nan,-0.401177,-0.000231884,-0.0490352,-0.710896,nan,0.0141564,0.12471,-0.0145556,2.43714
643,62.7365,1000,0.0599655,0.0833333,0,0.14899,1.13961,0.235484,-0.00968353,4.32124,5.92593e-05,0.0124198,0.34686,13392.7,0.545293,0.372222,-0.2,0.05,38.4805,7.90118e+06,0.315853,0.0515621,0.830759,0.015044,-0.611678,1,0.23915,nan,nan,nan,nan,-0.0379308,-0.141009,-0.0289934,nan,-0.399566,0,-0.0512414,-0.682871,nan,0.0119958,0.124,-0.017,2.51875
644,13.2856,364,0.06539,0.0416667,0.0833333,0.14407,1.17934,0.246301,-0.00829428,4.31991,5.92593e-05,0.0068242,0.346868,12413.6,0.63434,0.355539,-0.2,0.05,39.472,7.91347e+06,0.136065,0.0151083,0.285913,0.00322489,-0.23036,0.364,0.0601333,nan,nan,nan,nan,-0.0110528,-0.0359697,-0.00633806,nan,-0.148462,-0.000333333,-0.0180459,-0.268044,nan,0.00694053,0.0273333,-0.00333333,0.4875
645,33.7888,553.571,0.0662779,0.125,0.166667,0.143323,1.18948,0.297703,-0.00846316,4.32078,5.92593e-05,0.00814385,0.346899,12657,0.581184,0.389659,-0.2,0.05,40.4446,7.92576e+06,0.242169,0.0229198,0.460649,0.00846974,-0.349352,0.553571,0.117086,nan,nan,nan,nan,-0.0213519,-0.081323,-0.0159206,nan,-0.223068,-0.000428571,-0.0268255,-0.391116,nan,0.0111747,0.072,-0.00885714,1.31964
646,nan,nan,0.0615535,0,0,0.142838,1.2008,0.24114,-0.00903077,4.32175,5.92593e-05,0.00669714,0.346917,13733.6,0.548474,0.346263,-0.2,0.05,41.3411,7.93805e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
647,51.7002,815.9,0.0635738,0.333333,0.0833333,0.14581,1.18198,0.227285,-0.00903008,4.32149,5.92593e-05,0.00802801,0.346874,12887.8,0.568499,0.384959,-0.2,0.05,42.296,7.95034e+06,0.365138,0.0314933,0.664417,0.0122512,-0.514384,0.8159,0.19166,nan,nan,nan,nan,-0.0320343,-0.126091,-0.0247541,nan,-0.327821,-0.0005,-0.0393184,-0.584861,nan,0.0129166,0.1062,-0.0152,2.05
648,44.3953,714.667,0.0616556,0.0833333,0.0416667,0.143781,1.19122,0.26321,-0.00902547,4.31972,5.92593e-05,0.0071051,0.346836,13283.5,0.524517,0.400539,-0.2,0.05,43.2222,7.96262e+06,0.290437,0.0298839,0.593669,0.0100012,-0.453204,0.714667,0.1699,nan,nan,nan,nan,-0.025703,-0.0984215,-0.0199215,nan,-0.290299,-0.00233333,-0.0358249,-0.50473,nan,0.0116459,0.0733333,-0.01,1.76667
649,49.5402,789.25,0.0645137,0.125,0.0416667,0.142209,1.17931,0.225219,-0.00893906,4.31879,5.92593e-05,0.0113345,0.346821,12118.6,0.627778,0.386201,-0.2,0.05,44.2381,7.97491e+06,0.361806,0.0234984,0.643453,0.011472,-0.492338,0.78925,0.176825,nan,nan,nan,nan,-0.0298843,-0.124098,-0.0225218,nan,-0.317241,0,-0.0399782,-0.594324,nan,0.0119659,0.104,-0.0155,1.99062
650,49.1866,729.833,0.064318,0.166667,0.0833333,0.143496,1.16462,0.256867,-0.00849457,4.31781,5.92593e-05,0.0051288,0.346767,13176.8,0.577401,0.355148,-0.2,0.05,45.1722,7.9872e+06,0.296087,0.0285427,0.604465,0.0109299,-0.462793,0.729833,0.17,nan,nan,nan,nan,-0.029569,-0.115932,-0.021957,nan,-0.293928,-0.000666667,-0.0355368,-0.5134,nan,0.0140068,0.088,-0.015,2.00625
651,39.3657,659.429,0.0669343,0.166667,0.125,0.142656,1.2022,0.232682,-0.00877697,4.31589,5.92593e-05,0.0134159,0.34673,13913.5,0.557845,0.325325,-0.2,0.05,46.0569,7.99949e+06,0.37999,0.0210837,0.540888,0.00930895,-0.416162,0.659429,0.150629,nan,nan,nan,nan,-0.026134,-0.103286,-0.0184946,nan,-0.265182,-0.000285714,-0.0302036,-0.475776,nan,0.011839,0.09,-0.0111429,1.45179
652,53.6759,808.75,0.0647671,0.125,0.0416667,0.143457,1.199,0.225603,-0.00845469,4.31533,5.92593e-05,0.0068015,0.346736,14112.8,0.516877,0.353825,-0.2,0.05,46.929,8.01178e+06,0.24142,0.026805,0.662864,0.0114916,-0.508131,0.80875,0.190025,nan,nan,nan,nan,-0.0321211,-0.126535,-0.0251232,nan,-0.326118,-0.00075,-0.0385536,-0.601385,nan,0.0104057,0.113,-0.016,2.29375
