iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
39,4.89564,294.304,0.0174599,0,0.958333,0.343327,2.27641,0.0353692,-0.00981154,2.51788,3.90184e-05,0.0119722,0.298568,6282.71,0.900823,1.05502,-0.1,0.02,71.0024,479232,0.0283749,0.00917143,0.172136,0.0357992,-0.0690691,nan,0.566348,nan,nan,nan,nan,-0.0150969,-0.0657628,-0.0164931,0.0132826,-0.119633,0,-0.0035556,-0.290719,nan
40,4.85017,277.562,0.018203,0,0.666667,0.345538,2.31359,0.0335693,-0.00922502,2.51562,3.90184e-05,0.0151494,0.2985,6481.36,0.822094,1.07381,-0.1,0.02,72.9009,491520,0.0261196,0.0102036,0.165054,0.033336,-0.0645273,nan,0.544687,nan,nan,nan,nan,-0.0141028,-0.0638236,-0.0155768,0.0130625,-0.112318,-0.00075,-0.00318251,-0.275674,nan
41,4.33451,305.292,0.0180874,0,1,0.347907,2.25657,0.0396974,-0.0104836,2.51227,3.90184e-05,0.0178516,0.298412,7062.68,0.832462,0.907387,-0.1,0.02,74.6427,503808,0.0313063,0.0107533,0.175465,0.0339514,-0.0710415,nan,0.557312,nan,nan,nan,nan,-0.0148539,-0.0695529,-0.0159298,0.0131875,-0.123793,-0.000208333,-0.00334755,-0.306524,nan
42,5.09731,288.786,0.017666,0,1.16667,0.344908,2.29709,0.0378985,-0.00890376,2.50895,3.90184e-05,0.0130519,0.29834,6682.89,0.762488,1.07624,-0.1,0.02,76.4839,516096,0.0327842,0.00980497,0.169426,0.0357069,-0.0674154,nan,0.552375,nan,nan,nan,nan,-0.0147477,-0.063878,-0.0161655,0.0135,-0.117278,-7.14286e-05,-0.00353854,-0.275637,nan
43,3.77812,246.739,0.0179334,0,0.958333,0.341346,2.27765,0.0304697,-0.00955956,2.50585,3.90184e-05,0.0145717,0.298253,6413.21,0.859638,1.05641,-0.1,0.02,78.4016,528384,0.0226982,0.00951419,0.140811,0.028357,-0.0571575,nan,0.459783,nan,nan,nan,nan,-0.0128902,-0.0541102,-0.0125976,0.0108261,-0.10027,-8.69565e-05,-0.00254307,-0.243427,nan
44,7.28572,426.214,0.0183451,0.0416667,0.541667,0.341101,2.28507,0.032311,-0.0100367,2.5025,3.90184e-05,0.0134162,0.298188,7157.62,0.798328,0.918443,-0.1,0.02,80.1209,540672,0.0433695,0.0166367,0.264661,0.0512107,-0.0993213,nan,0.800464,nan,nan,nan,nan,-0.0194127,-0.0913023,-0.0233272,0.0176429,-0.172851,-0.00128571,-0.00486505,-0.417334,nan
45,4.92619,337.478,0.0175582,0.0416667,0.916667,0.336249,2.27049,0.0390586,-0.00994205,2.50021,3.90184e-05,0.0135547,0.298137,6441.82,0.745356,1.16218,-0.1,0.02,82.0311,552960,0.0350231,0.0129641,0.196769,0.0385707,-0.0797085,nan,0.615652,nan,nan,nan,nan,-0.0157951,-0.0743603,-0.0177756,0.0145652,-0.137491,-0.00026087,-0.003726,-0.338118,nan
46,5.59442,322.619,0.0187284,0,0.875,0.342859,2.24567,0.0331624,-0.0101331,2.49816,3.90184e-05,0.0107165,0.29809,6713.35,0.827306,1.00308,-0.1,0.02,83.8638,565248,0.0348071,0.0104579,0.193323,0.0373947,-0.074636,nan,0.6275,nan,nan,nan,nan,-0.0159127,-0.0726644,-0.0181941,0.0154524,-0.131079,-0.000714286,-0.0033086,-0.322705,nan
47,6.04184,378.421,0.0188404,0.0416667,0.75,0.341012,2.25423,0.0342319,-0.00993441,2.49611,3.90184e-05,0.0101146,0.298036,7181.56,0.831012,0.880037,-0.1,0.02,85.5772,577536,0.0421795,0.0147064,0.230908,0.0408966,-0.0886078,nan,0.684158,nan,nan,nan,nan,-0.0173365,-0.0811275,-0.0202352,0.0183684,-0.152755,-0.000210526,-0.00408111,-0.364771,nan
48,9.5619,547.095,0.0187191,0.0833333,0.791667,0.339991,2.2673,0.0362353,-0.0103773,2.49356,3.90184e-05,0.0156205,0.297971,7895.71,0.780569,0.775719,-0.1,0.02,87.1362,589824,0.0609572,0.0195233,0.333063,0.0639588,-0.128627,nan,1.05493,nan,nan,nan,nan,-0.0252883,-0.127171,-0.0304443,0.0269762,-0.222065,-0.000666667,-0.00548941,-0.541561,nan
